row;subject_id;trial_index;trial_type;rt;key_press;musical_type;stimulus;options;responses
5541;5a6ab70ee6cc4a0001b693c9;38;survey-multi-select;11335;NULL;Icon1;"Musical Clock";"[" Fight"," Blue"," Departure"," Hero"," Cradle"," Red"," Needle"," Jungle"," Basement"," Quarrel"," Mischeif"," Peaceful"," Ocean"," Arrival"," Staircase"," None of the above"]";"{"Q0":[" Peaceful"]}"
5542;5a6ab70ee6cc4a0001b693c9;39;audio-keyboard-response;NULL;NULL;NULL;Celebration;NULL;NULL
5543;5a6ab70ee6cc4a0001b693c9;40;survey-multi-select;14072;NULL;Icon1;Celebration;"[" Needle"," Wideness"," Peaceful"," Blossom"," Quarrel"," Narrowness"," Arrival"," Strength"," Fight"," Rushed"," Angel"," Bird"," Departure"," Red"," Toxin"," None of the above"]";"{"Q0":[" Peaceful"," Rushed"," Departure"]}"
5544;5a6ab70ee6cc4a0001b693c9;41;audio-keyboard-response;NULL;NULL;NULL;Mischief;NULL;NULL
5545;5a6ab70ee6cc4a0001b693c9;42;survey-multi-select;7540;NULL;Ind;Mischief;"[" Narrowness"," Bird"," River"," Sigh"," Peaceful"," Departure"," Wideness"," Angel"," Blue"," Basement"," Toxin"," Strength"," Fight"," Mockery"," Blossom"," None of the above"]";"{"Q0":[" Departure"]}"
5546;5a6ab70ee6cc4a0001b693c9;43;audio-keyboard-response;NULL;NULL;NULL;Bird;NULL;NULL
5547;5a6ab70ee6cc4a0001b693c9;44;survey-multi-select;15313;NULL;Icon2;Bird;"[" Wideness"," Mockery"," Narrowness"," Jungle"," Circle"," Blue"," Strength"," Peaceful"," Blossom"," Sigh"," Needle"," Basement"," Hero"," Bird"," Celebration"," None of the above"]";"{"Q0":[" Peaceful"," Blossom"]}"
5548;5a6ab70ee6cc4a0001b693c9;45;audio-keyboard-response;NULL;NULL;NULL;Departure;NULL;NULL
5549;5a6ab70ee6cc4a0001b693c9;46;survey-multi-select;9249;NULL;Ind;Departure;"[" Departure"," Ocean"," Wideness"," Hero"," Blossom"," Devotion"," Toxin"," Rushed"," Bird"," Angel"," Narrowness"," Jungle"," Staircase"," Peaceful"," Sigh"," None of the above"]";"{"Q0":[" Peaceful"]}"
5550;5a6ab70ee6cc4a0001b693c9;47;audio-keyboard-response;NULL;NULL;NULL;Fight;NULL;NULL
5551;5a6ab70ee6cc4a0001b693c9;48;survey-multi-select;11409;NULL;Icon1;Fight;"[" Arrival"," Needle"," Mockery"," Sigh"," Basement"," Mischeif"," Cradle"," Circle"," Ocean"," Narrowness"," Wideness"," Quarrel"," Celebration"," Bird"," Red"," None of the above"]";"{"Q0":[" Quarrel"]}"
5552;5a6ab70ee6cc4a0001b693c9;49;audio-keyboard-response;NULL;NULL;NULL;River;NULL;NULL
5553;5a6ab70ee6cc4a0001b693c9;50;survey-multi-select;6820;NULL;Icon2;River;"[" Fight"," Jungle"," River"," Toxin"," Devotion"," Peaceful"," Cradle"," Arrival"," Angel"," Hero"," Mockery"," Basement"," Wideness"," Bird"," Quarrel"," None of the above"]";"{"Q0":[" River"," Mockery"]}"
5554;5a6ab70ee6cc4a0001b693c9;51;audio-keyboard-response;NULL;NULL;NULL;Toxin;NULL;NULL
5555;5a6ab70ee6cc4a0001b693c9;52;survey-multi-select;10167;NULL;Ind;Toxin;"[" Hero"," Fight"," Quarrel"," Celebration"," Cradle"," Ocean"," Strength"," Peaceful"," Basement"," Wideness"," Blue"," Sigh"," Angel"," Mockery"," Toxin"," None of the above"]";"{"Q0":[" Toxin"]}"
5556;5a6ab70ee6cc4a0001b693c9;53;audio-keyboard-response;NULL;NULL;NULL;Blue;NULL;NULL
5557;5a6ab70ee6cc4a0001b693c9;54;survey-multi-select;10257;NULL;Ind;Blue;"[" Bird"," Celebration"," Staircase"," Toxin"," Wideness"," Blossom"," Ocean"," Devotion"," Mockery"," Jungle"," Arrival"," Cradle"," Strength"," Narrowness"," Fight"," None of the above"]";"{"Q0":[" Wideness"]}"
5558;5a6ab70ee6cc4a0001b693c9;55;audio-keyboard-response;NULL;NULL;NULL;Buzzsaw;NULL;NULL
5559;5a6ab70ee6cc4a0001b693c9;56;survey-multi-select;7086;NULL;Icon1;Buzzsaw;"[" Celebration"," Rushed"," Wideness"," Blossom"," Devotion"," Departure"," Bird"," Mockery"," Blue"," Mischeif"," Peaceful"," Staircase"," Fight"," Toxin"," Quarrel"," None of the above"]";"{"Q0":[" Rushed"," Mockery"]}"
5560;5a6ab70ee6cc4a0001b693c9;57;audio-keyboard-response;NULL;NULL;NULL;Needle;NULL;NULL
5561;5a6ab70ee6cc4a0001b693c9;58;survey-multi-select;10179;NULL;Icon2;Needle;"[" Sigh"," Toxin"," Bird"," Mockery"," Basement"," Strength"," Needle"," Wideness"," Circle"," Rushed"," Peaceful"," Ocean"," Departure"," Arrival"," Angel"," None of the above"]";"{"Q0":[" Bird"]}"
5562;5a6ab70ee6cc4a0001b693c9;59;audio-keyboard-response;NULL;NULL;NULL;Staircase;NULL;NULL
5563;5a6ab70ee6cc4a0001b693c9;60;survey-multi-select;6951;NULL;Icon2;Staircase;"[" Red"," Quarrel"," Ocean"," Fight"," Mockery"," Wideness"," Cradle"," Rushed"," Angel"," Narrowness"," Staircase"," Blue"," Bird"," Departure"," Blossom"," None of the above"]";"{"Q0":[" Staircase"]}"
5564;5a6ab70ee6cc4a0001b693c9;61;audio-keyboard-response;NULL;NULL;NULL;Cradle;NULL;NULL
5565;5a6ab70ee6cc4a0001b693c9;62;survey-multi-select;9087;NULL;Ind;Cradle;"[" Ocean"," Quarrel"," Strength"," Sigh"," Staircase"," Red"," Blue"," Wideness"," Celebration"," Toxin"," Peaceful"," Narrowness"," Blossom"," River"," Needle"," None of the above"]";"{"Q0":[" Sigh"," Blue"]}"
5566;5a6ab70ee6cc4a0001b693c9;63;audio-keyboard-response;NULL;NULL;NULL;Arrival;NULL;NULL
5567;5a6ab70ee6cc4a0001b693c9;64;survey-multi-select;12272;NULL;Icon1;Arrival;"[" Blossom"," Bird"," Blue"," Departure"," Staircase"," Strength"," Celebration"," Ocean"," Cradle"," Hero"," Sigh"," Devotion"," Jungle"," Narrowness"," Needle"," None of the above"]";"{"Q0":[" Strength"," Celebration"," Hero"]}"
5568;5a6ab70ee6cc4a0001b693c9;65;audio-keyboard-response;NULL;NULL;NULL;Hero;NULL;NULL
5569;5a6ab70ee6cc4a0001b693c9;66;survey-multi-select;12721;NULL;Ind;Hero;"[" Narrowness"," Peaceful"," Blue"," Red"," Rushed"," Bird"," Arrival"," Needle"," Hero"," Ocean"," River"," Quarrel"," Staircase"," Fight"," Mischeif"," None of the above"]";"{"Q0":[" Hero"]}"
5570;5a6ab70ee6cc4a0001b693c9;67;html-keyboard-response;3765;32;NULL;"Thank you for completing the main part of the experiment. We have one final question for you before you are finished. <br> Press the spacebar to continue.";NULL;NULL
5571;5a6ab70ee6cc4a0001b693c9;68;survey-multi-choice;2938;NULL;NULL;NULL;NULL;"{"Q0":"No"}"
5572;5abf18d9e1546900019bcc4b;0;html-keyboard-response;30750;32;NULL;"This experiment is being conducted at Vassar College.  It consists of several tasks, each of which involves viewing various items and making simple judgments about them. The study takes approximately 15 minutes to complete. Participation poses minimal ris";NULL;NULL
5573;5abf18d9e1546900019bcc4b;1;html-keyboard-response;9818;32;NULL;"Because this experiment features auditory stimuli, it is important to test that your speakers or headphones are working at a comfortable volume before you begin. When you are ready to start the experiment, click the spacebar to continue. In the following ";NULL;NULL
5574;5abf18d9e1546900019bcc4b;2;audio-keyboard-response;NULL;NULL;NULL;MusicStimuli/K.mp3;NULL;NULL
5575;5abf18d9e1546900019bcc4b;3;audio-keyboard-response;2053;75;NULL;MusicStimuli/K.mp3;NULL;NULL
5576;5abf18d9e1546900019bcc4b;4;html-keyboard-response;21451;32;NULL;"In this experiment you will hear brief music clips and be asked to make judgments about them. A short music clip will play, and then you will then be presented with a list of 15 words. Check off the words you thought of when you heard the music. Please ke";NULL;NULL
5577;5abf18d9e1546900019bcc4b;5;html-keyboard-response;5210;32;NULL;"Only click "None of the Above" if you believe none of the given words matched what you were thinking of when you listened to the music. In other words, if you click "None of the Above" there should be no other words checked off.<br><br> Press the spacebar";NULL;NULL
5578;5abf18d9e1546900019bcc4b;6;html-keyboard-response;2391;32;NULL;"Now we will begin the experiment.<br><br> Press the spacebar continue.";NULL;NULL
5579;5abf18d9e1546900019bcc4b;7;audio-keyboard-response;NULL;NULL;NULL;Blossom;NULL;NULL
5580;5abf18d9e1546900019bcc4b;8;survey-multi-select;20108;NULL;Icon2;Blossom;"[" Peaceful"," Wideness"," Sigh"," Ocean"," Devotion"," Blue"," Mischeif"," Circle"," Blossom"," Fight"," Mockery"," Toxin"," Hero"," Cradle"," Departure"," None of the above"]";"{"Q0":[" Peaceful"," Ocean"," Blue"," Blossom"," Fight"]}"
5581;5abf18d9e1546900019bcc4b;9;audio-keyboard-response;NULL;NULL;NULL;Devotion;NULL;NULL
5582;5abf18d9e1546900019bcc4b;10;survey-multi-select;28466;NULL;Ind;Devotion;"[" Blossom"," Devotion"," River"," Celebration"," Needle"," Jungle"," Blue"," Wideness"," Rushed"," Mockery"," Ocean"," Staircase"," Strength"," Sigh"," Departure"," None of the above"]";"{"Q0":[" Blossom"," Wideness"," Rushed"," Departure"]}"
5583;5abf18d9e1546900019bcc4b;11;audio-keyboard-response;NULL;NULL;NULL;Hero;NULL;NULL
5584;5abf18d9e1546900019bcc4b;12;survey-multi-select;18654;NULL;Ind;Hero;"[" Staircase"," Jungle"," Rushed"," Blue"," Blossom"," Devotion"," Narrowness"," Arrival"," Cradle"," Hero"," River"," Red"," Sigh"," Circle"," Quarrel"," None of the above"]";"{"Q0":[" Staircase"," Narrowness"," Arrival"," Red"," Circle"]}"
5585;5abf18d9e1546900019bcc4b;13;audio-keyboard-response;NULL;NULL;NULL;Ocean;NULL;NULL
5586;5abf18d9e1546900019bcc4b;14;survey-multi-select;11581;NULL;Icon1;Ocean;"[" Blossom"," Basement"," Needle"," Mischeif"," Blue"," River"," Rushed"," Mockery"," Hero"," Circle"," Arrival"," Quarrel"," Jungle"," Celebration"," Staircase"," None of the above"]";"{"Q0":[" Blossom"," River"," Celebration"]}"
5587;5abf18d9e1546900019bcc4b;15;audio-keyboard-response;NULL;NULL;NULL;Arrival;NULL;NULL
5588;5abf18d9e1546900019bcc4b;16;survey-multi-select;13793;NULL;Icon1;Arrival;"[" Celebration"," Ocean"," Strength"," Devotion"," Narrowness"," Toxin"," Angel"," Peaceful"," Bird"," River"," Cradle"," Blue"," Hero"," Arrival"," Wideness"," None of the above"]";"{"Q0":[" Celebration"," Strength"," Devotion"," Angel"," Peaceful"," Hero"]}"
5589;5abf18d9e1546900019bcc4b;17;audio-keyboard-response;NULL;NULL;NULL;Cradle;NULL;NULL
5590;5abf18d9e1546900019bcc4b;18;survey-multi-select;12183;NULL;Ind;Cradle;"[" Basement"," Peaceful"," Mockery"," Sigh"," Wideness"," Devotion"," Mischeif"," Ocean"," Needle"," Red"," Staircase"," Jungle"," River"," Circle"," Bird"," None of the above"]";"{"Q0":[" Peaceful"," Sigh"," Circle"]}"
5591;5abf18d9e1546900019bcc4b;19;audio-keyboard-response;NULL;NULL;NULL;Mischief;NULL;NULL
5592;5abf18d9e1546900019bcc4b;20;survey-multi-select;12730;NULL;Ind;Mischief;"[" Departure"," Needle"," Blue"," Hero"," Red"," Quarrel"," Devotion"," Toxin"," Celebration"," Narrowness"," Jungle"," Ocean"," Cradle"," Arrival"," Rushed"," None of the above"]";"{"Q0":[" Needle"," Celebration"," Narrowness"," Rushed"]}"
5593;5abf18d9e1546900019bcc4b;21;audio-keyboard-response;NULL;NULL;NULL;Departure;NULL;NULL
5594;5abf18d9e1546900019bcc4b;22;survey-multi-select;17408;NULL;Ind;Departure;"[" Rushed"," Mischeif"," Jungle"," Red"," Departure"," Needle"," Basement"," Cradle"," Blossom"," Narrowness"," Peaceful"," Bird"," Strength"," Mockery"," Fight"," None of the above"]";"{"Q0":[" Needle"," Narrowness"," Peaceful"," Bird"]}"
5595;5abf18d9e1546900019bcc4b;23;audio-keyboard-response;NULL;NULL;NULL;Basement;NULL;NULL
5596;5abf18d9e1546900019bcc4b;24;survey-multi-select;19696;NULL;Icon2;Basement;"[" Blue"," Basement"," Cradle"," Mischeif"," Bird"," Red"," Wideness"," Peaceful"," Celebration"," Departure"," Devotion"," Narrowness"," Hero"," Strength"," Angel"," None of the above"]";"{"Q0":[" Basement"," Mischeif"," Wideness"," Departure"," Narrowness"]}"
5597;5abf18d9e1546900019bcc4b;25;audio-keyboard-response;NULL;NULL;NULL;Rushed;NULL;NULL
5598;5abf18d9e1546900019bcc4b;26;survey-multi-select;14295;NULL;Icon2;Rushed;"[" Angel"," Red"," Devotion"," Blue"," Staircase"," Cradle"," River"," Departure"," Wideness"," Ocean"," Celebration"," Circle"," Toxin"," Basement"," Blossom"," None of the above"]";"{"Q0":[" Staircase"," Celebration"," Blossom"]}"
5599;5abf18d9e1546900019bcc4b;27;audio-keyboard-response;NULL;NULL;NULL;Bird;NULL;NULL
5600;5abf18d9e1546900019bcc4b;28;survey-multi-select;13290;NULL;Icon2;Bird;"[" Red"," Hero"," Mockery"," Needle"," Strength"," Narrowness"," Jungle"," Blue"," Celebration"," Sigh"," Bird"," Rushed"," Fight"," Angel"," Wideness"," None of the above"]";"{"Q0":[" Needle"," Blue"," Angel"]}"
5601;5abf18d9e1546900019bcc4b;29;audio-keyboard-response;NULL;NULL;NULL;Blue;NULL;NULL
5602;5abf18d9e1546900019bcc4b;30;survey-multi-select;10482;NULL;Ind;Blue;"[" Departure"," Mockery"," Cradle"," Toxin"," Quarrel"," Staircase"," Ocean"," Narrowness"," Peaceful"," Arrival"," Basement"," Red"," Mischeif"," Needle"," River"," None of the above"]";"{"Q0":[" Departure"," Toxin"," Mischeif"]}"
5603;5abf18d9e1546900019bcc4b;31;audio-keyboard-response;NULL;NULL;NULL;Wideness;NULL;NULL
5604;5abf18d9e1546900019bcc4b;32;survey-multi-select;10352;NULL;Icon2;Wideness;"[" Narrowness"," Devotion"," River"," Bird"," Cradle"," Peaceful"," Wideness"," Staircase"," Basement"," Mischeif"," Ocean"," Departure"," Fight"," Blossom"," Circle"," None of the above"]";"{"Q0":[" Narrowness"," Cradle"," Circle"]}"
5605;5abf18d9e1546900019bcc4b;33;audio-keyboard-response;NULL;NULL;NULL;River;NULL;NULL
5606;5abf18d9e1546900019bcc4b;34;survey-multi-select;10552;NULL;Icon2;River;"[" Staircase"," Basement"," Bird"," Devotion"," Sigh"," Red"," Quarrel"," Narrowness"," Mockery"," Strength"," Arrival"," Peaceful"," Hero"," River"," Cradle"," None of the above"]";"{"Q0":[" Staircase"," Devotion"," Quarrel"," Narrowness"," Mockery"]}"
5607;5abf18d9e1546900019bcc4b;35;audio-keyboard-response;NULL;NULL;NULL;"Musical Clock";NULL;NULL
5608;5abf18d9e1546900019bcc4b;36;survey-multi-select;13040;NULL;Icon1;"Musical Clock";"[" Arrival"," Circle"," Toxin"," Mischeif"," Basement"," Red"," Peaceful"," Ocean"," Blossom"," Hero"," Mockery"," Celebration"," Cradle"," Devotion"," Wideness"," None of the above"]";"{"Q0":[" Red"," Peaceful"," Blossom"," Devotion"," Wideness"]}"
5609;5abf18d9e1546900019bcc4b;37;audio-keyboard-response;NULL;NULL;NULL;Narrowness;NULL;NULL
5610;5abf18d9e1546900019bcc4b;38;survey-multi-select;78400;NULL;Icon2;Narrowness;"[" Narrowness"," Fight"," Celebration"," Peaceful"," Devotion"," Rushed"," River"," Bird"," Wideness"," Red"," Needle"," Mockery"," Basement"," Quarrel"," Circle"," None of the above"]";"{"Q0":[" Narrowness"," Devotion"," Rushed"]}"
5611;5abf18d9e1546900019bcc4b;39;audio-keyboard-response;NULL;NULL;NULL;Staircase;NULL;NULL
5612;5abf18d9e1546900019bcc4b;40;survey-multi-select;22728;NULL;Icon2;Staircase;"[" Bird"," Strength"," Devotion"," River"," Jungle"," Staircase"," Angel"," Departure"," Red"," Circle"," Peaceful"," Blue"," Hero"," Wideness"," Fight"," None of the above"]";"{"Q0":[" Staircase"," Departure"," Red"," Wideness"]}"
5613;5abf18d9e1546900019bcc4b;41;audio-keyboard-response;NULL;NULL;NULL;Red;NULL;NULL
5614;5abf18d9e1546900019bcc4b;42;survey-multi-select;7161;NULL;Ind;Red;"[" Wideness"," Strength"," Basement"," Departure"," Rushed"," Sigh"," Blossom"," Fight"," Ocean"," Circle"," Bird"," Toxin"," Quarrel"," Staircase"," Mischeif"," None of the above"]";"{"Q0":[" Rushed"," Toxin"," Mischeif"]}"
5615;5abf18d9e1546900019bcc4b;43;audio-keyboard-response;NULL;NULL;NULL;Mockery;NULL;NULL
5616;5abf18d9e1546900019bcc4b;44;survey-multi-select;9263;NULL;Icon1;Mockery;"[" Mockery"," Circle"," Arrival"," Celebration"," Cradle"," Red"," Wideness"," Jungle"," Basement"," Ocean"," Blue"," Staircase"," Narrowness"," Hero"," Rushed"," None of the above"]";"{"Q0":[" Mockery"," Circle"," Cradle"]}"
5617;5abf18d9e1546900019bcc4b;45;audio-keyboard-response;NULL;NULL;NULL;Fight;NULL;NULL
5618;5abf18d9e1546900019bcc4b;46;survey-multi-select;32451;NULL;Icon1;Fight;"[" Narrowness"," Red"," Rushed"," Mischeif"," Peaceful"," Arrival"," Mockery"," Strength"," Cradle"," Hero"," Blossom"," Jungle"," Celebration"," Wideness"," Quarrel"," None of the above"]";"{"Q0":[" Arrival"," Jungle"," Celebration"," Quarrel"]}"
5619;5abf18d9e1546900019bcc4b;47;audio-keyboard-response;NULL;NULL;NULL;Quarrel;NULL;NULL
5620;5abf18d9e1546900019bcc4b;48;survey-multi-select;16215;NULL;Icon1;Quarrel;"[" Hero"," River"," Red"," Cradle"," Wideness"," Circle"," Fight"," Quarrel"," Blossom"," Celebration"," Sigh"," Toxin"," Peaceful"," Rushed"," Bird"," None of the above"]";"{"Q0":[" Red"," Wideness"," Quarrel"," Toxin"," Rushed"]}"
5621;5abf18d9e1546900019bcc4b;49;audio-keyboard-response;NULL;NULL;NULL;Jungle;NULL;NULL
5622;5abf18d9e1546900019bcc4b;50;survey-multi-select;79810;NULL;Icon1;Jungle;"[" Celebration"," Rushed"," Needle"," Mockery"," Red"," Fight"," Wideness"," Ocean"," Departure"," Jungle"," Hero"," Devotion"," Cradle"," Blue"," Circle"," None of the above"]";"{"Q0":[" Needle"," Mockery"," Cradle"," Blue"]}"
5623;5abf18d9e1546900019bcc4b;51;audio-keyboard-response;NULL;NULL;NULL;Strength;NULL;NULL
5624;5abf18d9e1546900019bcc4b;52;survey-multi-select;16152;NULL;Ind;Strength;"[" Jungle"," Blossom"," Strength"," Toxin"," Bird"," Peaceful"," Needle"," Red"," Angel"," Cradle"," Mockery"," Mischeif"," River"," Rushed"," Arrival"," None of the above"]";"{"Q0":[" Strength"," Angel"," Rushed"]}"
5625;5abf18d9e1546900019bcc4b;53;audio-keyboard-response;NULL;NULL;NULL;Needle;NULL;NULL
5626;5abf18d9e1546900019bcc4b;54;survey-multi-select;35022;NULL;Icon2;Needle;"[" Red"," River"," Mischeif"," Blossom"," Strength"," Needle"," Toxin"," Sigh"," Blue"," Cradle"," Rushed"," Arrival"," Fight"," Peaceful"," Ocean"," None of the above"]";"{"Q0":[" Sigh"," Blue"," Ocean"]}"
